# time,flux,err
3.750534000000000106e+02,1.027224000000000004e+01,2.317688999999999999e-01
3.803190000000000168e+02,1.043032999999999966e+01,3.048471999999999849e-01
3.855846000000000231e+02,1.049540999999999968e+01,2.433302999999999994e-01
3.908500999999999976e+02,1.056184999999999974e+01,2.450417000000000012e-01
3.961157000000000039e+02,9.931276999999999688e+00,3.045370000000000021e-01
4.013813000000000102e+02,9.236183000000000476e+00,2.279320999999999986e-01
4.066469000000000165e+02,9.267521000000000342e+00,2.526580999999999966e-01
4.119125000000000227e+02,9.473475000000000534e+00,3.032555000000000112e-01
4.171780999999999722e+02,9.763068999999999775e+00,2.137159999999999893e-01
4.224436999999999784e+02,1.069758000000000031e+01,2.639524999999999788e-01
4.277092999999999847e+02,1.098781999999999925e+01,3.035186000000000273e-01
4.329748000000000161e+02,1.087238999999999933e+01,2.004529999999999923e-01
4.382404000000000224e+02,1.117523000000000089e+01,2.728336000000000094e-01
4.435059999999999718e+02,1.147198000000000029e+01,3.294615000000000182e-01
4.487715999999999781e+02,1.173171999999999926e+01,1.954396999999999940e-01
4.540371999999999844e+02,1.164916000000000018e+01,3.025477999999999779e-01
4.593027999999999906e+02,1.114212999999999987e+01,3.257885999999999838e-01
4.645683999999999969e+02,1.039447999999999972e+01,1.628392999999999924e-01
4.698339000000000283e+02,1.055310000000000059e+01,3.077280000000000015e-01
4.750994999999999777e+02,1.042106000000000066e+01,3.201608000000000231e-01
4.803650999999999840e+02,1.006010000000000026e+01,1.261156999999999972e-01
4.856306999999999903e+02,1.031231999999999971e+01,3.138137999999999761e-01
4.908962999999999965e+02,1.084249999999999936e+01,3.155242999999999798e-01
4.961619000000000028e+02,1.164662000000000042e+01,1.317770000000000052e-01
5.014275000000000091e+02,1.165991000000000000e+01,3.217728999999999728e-01
5.066931000000000154e+02,1.151599000000000039e+01,3.112986999999999838e-01
5.119585999999999899e+02,1.120537999999999990e+01,1.616473999999999966e-01
5.172241999999999962e+02,1.128589000000000020e+01,3.251018999999999992e-01
5.224897999999999456e+02,1.119340000000000046e+01,3.031577999999999773e-01
5.277554000000000087e+02,1.083339999999999925e+01,1.865471999999999964e-01
5.330209999999999582e+02,1.059787999999999997e+01,3.273118999999999890e-01
5.382866000000000213e+02,1.044219000000000008e+01,3.367009999999999725e-01
5.435521999999999707e+02,1.039344999999999963e+01,5.983526000000000122e-01
5.488176999999999452e+02,1.034479999999999933e+01,7.532265999999999684e-01
5.540833000000000084e+02,1.029622999999999955e+01,8.610248999999999819e-01
5.593488999999999578e+02,1.024775999999999954e+01,9.381285999999999792e-01
5.646145000000000209e+02,1.019937000000000005e+01,9.917304999999999593e-01
5.698800999999999704e+02,1.015104999999999968e+01,1.025527999999999995e+00
5.751457000000000335e+02,1.010280999999999985e+01,1.041455000000000020e+00
5.804112999999999829e+02,1.005462999999999951e+01,1.040332999999999952e+00
5.856769000000000460e+02,1.000652999999999970e+01,1.022107000000000099e+00
5.909424000000000206e+02,9.958479999999999777e+00,9.858259999999999801e-01
5.962079999999999700e+02,9.910491999999999635e+00,9.293742000000000392e-01
6.014736000000000331e+02,9.862557000000000684e+00,8.510094000000000269e-01
6.067391999999999825e+02,9.814662999999999471e+00,7.622735000000000483e-01
6.120048000000000457e+02,9.766249000000000180e+00,6.454395000000000548e-01
6.172703999999999951e+02,9.698781000000000319e+00,4.856405999999999779e-01
6.225359999999999445e+02,9.379652000000000100e+00,3.987290000000000001e-01
6.278016000000000076e+02,8.944304000000000698e+00,3.861798000000000175e-01
6.330670999999999822e+02,8.847889999999999588e+00,3.866363999999999912e-01
6.383327000000000453e+02,8.807335000000000136e+00,3.861651999999999862e-01
6.435982999999999947e+02,8.717361999999999611e+00,3.854542000000000246e-01
6.488638999999999442e+02,8.551531999999999911e+00,3.864458000000000060e-01
6.541295000000000073e+02,8.744569999999999510e+00,3.860434999999999839e-01
6.593950999999999567e+02,9.329143000000000185e+00,3.861357000000000261e-01
6.646607000000000198e+02,9.875223000000000084e+00,3.876537999999999928e-01
6.699261999999999944e+02,1.031273999999999980e+01,3.872849999999999904e-01
6.751917999999999438e+02,1.062387000000000015e+01,3.872708999999999735e-01
6.804574000000000069e+02,1.081217000000000006e+01,3.884993999999999947e-01
6.857229999999999563e+02,1.069051999999999936e+01,3.876307999999999976e-01
6.909886000000000195e+02,1.037383999999999951e+01,3.872132999999999825e-01
6.962541999999999689e+02,1.096254000000000062e+01,3.886799000000000226e-01
7.015198000000000320e+02,1.154989999999999917e+01,3.884601999999999777e-01
7.067853999999999814e+02,1.167900000000000027e+01,3.883947999999999845e-01
7.120508999999999560e+02,1.201961000000000013e+01,3.832573000000000230e-01
7.173165000000000191e+02,1.236640000000000050e+01,3.207428999999999975e-01
7.225820999999999685e+02,1.251540999999999926e+01,2.822935999999999779e-01
