#sigma,tau
1.517358434104014,196.2615167344295
1.4553721676746063,203.02128210111195
1.5446260634755922,195.30482560827235
1.4472861917130089,205.2761778152208
1.4708645346524716,201.44195578021703
1.6224154570427085,189.95807393754978
1.4786744543643424,201.39602826237675
1.5068284305286175,200.24615233290706
1.5128254721611514,198.775424629074
1.496738050010821,199.6219661175502
1.4840968180019718,200.29416636492806
1.4516030048225292,203.17657873595803
1.4801880606038715,200.60118918970994
1.5286347579512156,196.0234018985683
1.50262861726473,199.69284203445184
1.4721328283045823,201.65592679145712
1.430733275073135,206.19201157857123
1.4772263831520793,201.11350783406087
1.4381256812254108,205.50805050473343
1.4280909598897296,203.8665224084422
1.5856213017163647,191.67594392680564
1.4520742845387054,204.0189088286652
1.4094129057042644,207.9960568665158
1.4141776083686832,207.2489501624988
1.3873371761502202,211.72808642195844
1.505530708108418,196.29411038033848
1.4230715944511128,205.9911554606794
1.51507529824548,198.10769658835045
1.5486912981235361,198.85216608608204
1.5039873106721728,200.0163599929302
1.461187441426378,201.51891183647217
1.4405595156602764,204.71507967229041
1.5092229085377278,198.78488422554875
1.5287986630590544,195.73188989920223
1.5329542444910753,196.59226818623912
1.4225825632070306,205.27737242254852
1.527060118109197,196.1688318241976
1.516995933845632,196.80328395201167
1.447758258993556,203.67106147680533
1.3704860130602934,209.80585942250124
1.4859201508739563,200.53726850320948
1.464231531073088,202.33956991868993
1.4869460740809408,200.4073939741845
1.5684872833364933,192.88522161252433
1.4510280952341559,203.45785488456727
1.5012496622465914,201.00792321561278
1.4889764891764443,199.88805035336063
1.3946756289804898,208.90855826949482
1.5126795253560974,197.14353682618918
1.417282868512909,208.2811738149853
1.5579978824445389,194.87095307247117
1.4506080226595623,203.36869200833604
1.474990287122666,201.90970123258998
1.4271668076510924,206.27403759735404
1.4359484214918612,204.9812072297397
1.4942549012076485,199.18192118576962
1.4364613985170192,204.83451838914823
1.5047534782583016,198.8555532039372
1.706655724702727,182.79318894600462
1.4493918617919523,203.15092292693322
1.4394088254043684,206.69182905292183
1.4995995916736555,199.70136567594565
1.4802057413419465,201.5277095730473
1.5032478104408533,198.203791763118
1.4669667876203554,202.27771655669972
1.482830440726529,202.46393383202957
1.508344718273007,199.2060870289996
1.5598195302269031,194.3830733911651
1.4358420506834269,204.97123289132486
1.4238768162422109,206.69512145505655
1.5648202820648296,192.43817755680337
1.4518405978930788,202.60173931339367
1.5995647577580716,193.57697785995987
1.481912699603604,200.62223555226
1.406699041326874,205.24243056704756
1.4478173420621896,202.74185091220681
1.4578912340673538,202.79765368240527
1.5998908230235915,191.889756860643
1.5036563770277167,198.48371249726642
1.4094771092537306,208.09915977833617
1.3490926953814855,213.8475425870416
1.5064049476163217,198.51444963164215
1.531667915210545,197.15859091313578
1.487905330027045,200.51302921814707
1.452073140965143,202.60828816530477
1.4803943100747665,201.16090097692768
1.4114462572045634,206.21304810807794
1.4711555484422,200.72456009011157
1.416617149860243,206.31660455237576
1.5150483483748982,197.01933970803606
1.4877409568269881,199.820270766382
1.4764117319032224,201.0401916435713
1.4270692112951509,205.412309436258
1.5288652829414582,197.61213478815873
1.4204719050491725,205.79241331878703
1.5091107245098454,198.16431097428296
1.4754249143637987,194.37175228288675
1.5226156967610873,196.99077927475673
1.5068736584758946,197.98240563054836
1.4232839892165043,205.74732760885138
1.529876236777987,192.83927850427975
1.4385409441785564,204.56539344356784
1.5184689307722252,197.6970416125447
1.4472861917130089,205.2761778152208
1.469067376820875,201.74873161484064
1.5968465894391208,191.92017658078495
1.4629161107230424,203.3243789149768
1.5068284305286175,200.24615233290706
1.518985525004329,198.30077524493396
1.5023960396455056,199.11719789208004
1.4898730410799585,200.10574192377464
1.3603874055613998,212.2226287359079
1.4232418193662604,205.38647203841472
1.5569805197955566,193.15623565754342
1.50262861726473,199.69284203445184
1.4644487775989687,202.49077227725405
1.4222503646751588,206.8184969965509
1.470601714643493,201.75286122733525
1.4381256812254108,205.50805050473343
1.4538149034969212,202.15572425113115
1.5473866646089873,195.15748094698205
1.451691032308948,203.81324462515929
1.3583129086923333,213.68100039640933
1.4257077029038216,206.12000598744035
1.40339897353367,209.8467016037344
1.4961915596599717,195.87746602745898
1.4188960828403498,206.57972448719372
1.5382160172064496,196.17524210917415
1.6531578712155626,193.27804545607455
1.483670612479,204.2278112657209
1.461187441426378,201.51891183647217
1.5027514523934626,200.224143589632
1.5092229085377278,198.78488422554875
1.5378764399731824,194.89583569750553
1.5329542444910753,196.59226818623912
1.4213974250435877,205.48307052655363
1.526900695792797,196.18470730503248
