# tau,tf,errlo,errhi
-4.731973197319732094e+02,9.582530333097482780e-221,9.582530333097482780e-221,4.646234040370314531e-137
-4.730973097309731088e+02,1.155180806871984653e-220,1.155180806871984653e-220,5.219723828541956275e-137
-4.729972997299730082e+02,1.392530388825290647e-220,1.392530388825290647e-220,5.863872481673921599e-137
-4.728972897289729076e+02,1.678588924724715816e-220,1.678588924724715816e-220,6.587370008225424195e-137
-4.727972797279728070e+02,2.023340525978247877e-220,2.023340525978247877e-220,7.399973215381525705e-137
-4.726972697269727064e+02,2.438813341051405774e-220,2.438813341051405774e-220,8.312636431344088313e-137
-4.725972597259726058e+02,2.939497525632279532e-220,2.939497525632279532e-220,9.337658216493062954e-137
-4.724972497249725052e+02,3.542848577312132302e-220,3.542848577312132302e-220,1.048884601543492169e-136
-4.723972397239724046e+02,4.269893448180673607e-220,4.269893448180673607e-220,1.178170093981734655e-136
-4.722972297229723040e+02,5.145960396558887094e-220,5.145960396558887094e-220,1.323362513859806395e-136
-4.721972197219722034e+02,6.201557808869847194e-220,6.201557808869847194e-220,1.486415451171361766e-136
-4.720972097209721028e+02,7.473432361120156628e-220,7.473432361120156628e-220,1.669521985870712135e-136
-4.719971997199720022e+02,9.005843073152572486e-220,9.005843073152572486e-220,1.875143993031312702e-136
-4.718971897189719016e+02,1.085209525006187872e-219,1.085209525006187872e-219,2.106045027319363347e-136
-4.717971797179718010e+02,1.307638725939062344e-219,1.307638725939062344e-219,2.365327223145095540e-136
-4.716971697169717004e+02,1.575603386720598669e-219,1.575603386720598669e-219,2.656472699960540437e-136
