# lags,weights,weighted_lags
9.470566095639551918e+01,6.269032854048269821e-01,5.937129000000000190e+01
1.061827406913050140e+02,6.074800158674189543e-01,6.450389300000000503e+01
9.855154229325238191e+01,6.252398142755284383e-01,6.161834800000000456e+01
1.032065754703887279e+02,6.073245208875636125e-01,6.267988400000000837e+01
1.003494286737190890e+02,6.312905896652193372e-01,6.334964999999999691e+01
9.514097853781130709e+01,6.240348891976598145e-01,5.937129000000000190e+01
1.035219397015988108e+02,6.057560086369934149e-01,6.270903700000000214e+01
1.072381418054277873e+02,6.132313549344950987e-01,6.576179100000000233e+01
9.707283663409751284e+01,6.073245208875636125e-01,5.895471400000000273e+01
1.015691815575750212e+02,6.135374337409184031e-01,6.231649500000000330e+01
1.078226150854874561e+02,6.156750320641686258e-01,6.638369199999999637e+01
1.040922871181859932e+02,6.154626608142534927e-01,6.406491599999999664e+01
1.078920741704767039e+02,6.155155928791297137e-01,6.640925400000000423e+01
9.779453392858982852e+01,6.288314645980618289e-01,6.149627999999999162e+01
9.892875544199934268e+01,6.200271571794105929e-01,6.133851500000000101e+01
9.797288345509558383e+01,6.437041840143978844e-01,6.306555500000000336e+01
1.045698272668386721e+02,6.198746492579878531e-01,6.482018499999999506e+01
1.015004334799264569e+02,6.103620336976405270e-01,6.195201099999999883e+01
1.010023942548887845e+02,6.153641946660250994e-01,6.215325700000000353e+01
1.006348916121407484e+02,6.316221042397549557e-01,6.356322200000000322e+01
9.716255523960728624e+01,6.255568912335829346e-01,6.078070600000000212e+01
9.801755001551823909e+01,6.272682493111274571e-01,6.148329700000000031e+01
9.707244834352756868e+01,6.073269501905057544e-01,5.895471400000000273e+01
1.063200728300318048e+02,6.247154580695384318e-01,6.641979299999999853e+01
1.031522389924971606e+02,6.237067331585461893e-01,6.433674600000000510e+01
1.061827406913050140e+02,6.074800158674189543e-01,6.450389300000000503e+01
1.008615816048662737e+02,6.191950196127682382e-01,6.245298900000000231e+01
1.016122055010588952e+02,6.117252715211682901e-01,6.215875400000000184e+01
1.074263667864305489e+02,6.074800158674189543e-01,6.525937100000000157e+01
9.400110925477088131e+01,6.469462911887232659e-01,6.081366899999999021e+01
1.022861554705623348e+02,6.065403642808251394e-01,6.204068199999999678e+01
1.003494286737190890e+02,6.312905896652193372e-01,6.334964999999999691e+01
9.514097853781130709e+01,6.240348891976598145e-01,5.937129000000000190e+01
1.016122055010588952e+02,6.117252715211682901e-01,6.215875400000000184e+01
9.467671630534732685e+01,5.927319534299319015e-01,5.611791500000000354e+01
1.078920741704767039e+02,6.155155928791297137e-01,6.640925400000000423e+01
9.693602786950232542e+01,6.236131841649223961e-01,6.045058499999999668e+01
9.828355147867182495e+01,6.269446623870891244e-01,6.161834799999999746e+01
9.307001064384721190e+01,6.455491042105293564e-01,6.008126200000000239e+01
1.070823037378617926e+02,6.124959186585916537e-01,6.558747400000000027e+01
1.081028664703267452e+02,6.156719536967041329e-01,6.655590300000000070e+01
1.079536435846955840e+02,6.132822552492884771e-01,6.620605399999999463e+01
9.380349988823847696e+01,6.247067121143473623e-01,5.859967600000000232e+01
9.926772559155492104e+01,6.100483882261114044e-01,6.055811599999999828e+01
1.046672199572059583e+02,6.054090098686857324e-01,6.336647800000000075e+01
1.031232220160763262e+02,6.073202696307967718e-01,6.262882299999999702e+01
1.074355426996305454e+02,6.073233062397364046e-01,6.524810899999999947e+01
1.061673075685831833e+02,6.073986189990047135e-01,6.448587600000000464e+01
1.012940236358471253e+02,6.052134943359565034e-01,6.130451000000000050e+01
1.026845062422175943e+02,6.075207183920015019e-01,6.238296499999999156e+01
1.020592559733587024e+02,6.139406602803000323e-01,6.265832699999999988e+01
1.058869233726141914e+02,6.317591811086773479e-01,6.689503600000000461e+01
1.037390585206706959e+02,6.057111843508733440e-01,6.283590800000000343e+01
1.004679313484659104e+02,6.236649462073029504e-01,6.265832699999999988e+01
1.070823037378617926e+02,6.124959186585916537e-01,6.558747400000000027e+01
1.060827162611952019e+02,6.035387691465079474e-01,6.402503199999999595e+01
1.063200728300318048e+02,6.247154580695384318e-01,6.641979299999999853e+01
9.770116589332569390e+01,6.097263676980286817e-01,5.957097699999999918e+01
1.084007754898220242e+02,6.122809703167831907e-01,6.637173199999999440e+01
