# PLIKE V4.0 ZDCF peak likelihood analysis
# for file /home/stone28/projects/petl_mock/test_repo/tot_output2/H-alpha/pyzdcf/H-alpha_zdcf.dcf
#
# num      lag         r         -dr        +dr    likelihood
# ---- ---------- ---------- ---------- ---------- ----------
   114  4.802E+01  8.348E-01  3.157E-02  2.904E-02  0.000E+00
   115  5.603E+01  8.569E-01  2.862E-02  2.619E-02  5.980E-12
   116  6.403E+01  8.712E-01  2.688E-02  2.449E-02  2.125E-10
   117  7.204E+01  8.833E-01  2.545E-02  2.308E-02  4.284E-09
   118  8.004E+01  9.081E-01  2.116E-02  1.906E-02  7.350E-07
   119  8.804E+01  9.322E-01  1.651E-02  1.477E-02  8.178E-05
   120  9.605E+01  9.630E-01  9.614E-03  8.525E-03  1.708E-02
   121  1.041E+02  9.704E-01  8.128E-03  7.156E-03  5.368E-02
   122  1.121E+02  9.434E-01  1.623E-02  1.424E-02  1.078E-03
   123  1.201E+02  9.272E-01  2.208E-02  1.926E-02  1.542E-04
   124  1.281E+02  9.272E-01  2.379E-02  2.054E-02  2.416E-04
   125  1.361E+02  9.240E-01  2.701E-02  2.305E-02  2.785E-04
   126  1.441E+02  9.276E-01  2.864E-02  2.403E-02  6.971E-04
   127  1.521E+02  9.376E-01  2.827E-02  2.314E-02  2.825E-03
   128  1.601E+02  9.566E-01  2.362E-02  1.861E-02  1.770E-02
   129  1.681E+02  9.553E-01  3.147E-02  2.330E-02  2.090E-02
   130  1.797E+02  9.062E-01  6.815E-02  5.025E-02  2.573E-03
   131  2.001E+02  4.719E-01  2.325E-01  2.021E-01  1.009E-09
   132  2.241E+02  2.173E-01  1.849E-01  1.771E-01  1.131E-21
   133  2.321E+02  1.855E-01  1.717E-01  1.660E-01  0.000E+00
   134  2.401E+02  1.916E-01  1.594E-01  1.544E-01  0.000E+00
   135  2.481E+02  2.131E-01  1.485E-01  1.436E-01  0.000E+00
   136  2.561E+02  2.154E-01  1.403E-01  1.359E-01  0.000E+00
   137  2.641E+02  2.204E-01  1.331E-01  1.290E-01  0.000E+00
   138  2.721E+02  2.092E-01  1.277E-01  1.241E-01  0.000E+00
   139  2.801E+02  2.017E-01  1.227E-01  1.196E-01  0.000E+00
   140  2.881E+02  1.729E-01  1.192E-01  1.167E-01  0.000E+00
   141  2.961E+02  1.523E-01  1.156E-01  1.135E-01  0.000E+00
   142  3.042E+02  1.506E-01  1.118E-01  1.099E-01  0.000E+00
   143  3.122E+02  1.530E-01  1.083E-01  1.065E-01  0.000E+00
   144  3.202E+02  1.483E-01  1.053E-01  1.036E-01  0.000E+00
   145  3.282E+02  1.355E-01  1.027E-01  1.012E-01  0.000E+00
   146  3.362E+02  1.167E-01  1.004E-01  9.921E-02  0.000E+00
   147  3.442E+02  1.152E-01  9.794E-02  9.682E-02  0.000E+00
   148  3.522E+02  1.102E-01  9.571E-02  9.469E-02  0.000E+00
   149  3.602E+02  9.855E-02  9.373E-02  9.286E-02  0.000E+00
   150  3.682E+02  8.146E-02  9.611E-02  9.535E-02  0.000E+00
   151  3.762E+02  7.971E-02  9.845E-02  9.767E-02  0.000E+00
   152  3.842E+02  6.873E-02  1.011E-01  1.004E-01  0.000E+00
   153  3.922E+02  6.682E-02  1.038E-01  1.031E-01  0.000E+00
   154  4.002E+02  7.277E-02  1.067E-01  1.058E-01  0.000E+00
   155  4.082E+02  6.078E-02  1.099E-01  1.092E-01  0.000E+00
   156  4.162E+02  7.816E-02  1.133E-01  1.123E-01  0.000E+00
   157  4.242E+02  8.600E-02  1.170E-01  1.158E-01  0.000E+00
   158  4.322E+02  8.615E-02  1.213E-01  1.200E-01  0.000E+00
   159  4.402E+02  1.054E-01  1.258E-01  1.241E-01  0.000E+00
   160  4.482E+02  9.340E-02  1.313E-01  1.297E-01  0.000E+00
   161  4.562E+02  9.819E-02  1.374E-01  1.355E-01  0.000E+00
   162  4.642E+02  1.092E-01  1.442E-01  1.419E-01  0.000E+00
   163  4.722E+02  1.328E-01  1.519E-01  1.488E-01  0.000E+00
   164  4.802E+02  1.188E-01  1.622E-01  1.590E-01  0.000E+00
   165  4.882E+02  1.428E-01  1.735E-01  1.691E-01  0.000E+00
   166  4.962E+02  1.617E-01  1.880E-01  1.821E-01  0.000E+00
   167  5.043E+02  2.034E-01  2.056E-01  1.967E-01  0.000E+00
   168  5.123E+02  1.815E-01  2.350E-01  2.245E-01  0.000E+00
   169  5.203E+02  1.457E-01  2.804E-01  2.683E-01  0.000E+00
   170  5.328E+02  1.688E-01  2.911E-01  2.760E-01  0.000E+00
   171  5.603E+02  3.793E-01  2.917E-01  2.556E-01  0.000E+00
   172  5.843E+02  3.292E-01  1.983E-01  1.842E-01  0.000E+00
   173  5.923E+02  2.450E-01  1.900E-01  1.807E-01  0.000E+00
   174  6.003E+02  1.879E-01  1.802E-01  1.739E-01  0.000E+00
   175  6.083E+02  1.450E-01  1.708E-01  1.665E-01  0.000E+00
   176  6.163E+02  9.328E-02  1.627E-01  1.602E-01  0.000E+00
   177  6.243E+02  9.821E-02  1.546E-01  1.522E-01  0.000E+00
   178  6.323E+02  1.181E-01  1.472E-01  1.446E-01  0.000E+00
   179  6.403E+02  1.147E-01  1.412E-01  1.388E-01  0.000E+00
   180  6.483E+02  8.989E-02  1.362E-01  1.345E-01  0.000E+00
   181  6.563E+02  5.818E-02  1.317E-01  1.307E-01  0.000E+00
   182  6.643E+02  1.250E-02  1.274E-01  1.272E-01  0.000E+00
   183  6.723E+02 -3.513E-02  1.230E-01  1.235E-01  0.000E+00
   184  6.803E+02 -7.806E-02  1.185E-01  1.196E-01  0.000E+00
   185  6.883E+02 -1.215E-01  1.140E-01  1.156E-01  0.000E+00
   186  6.963E+02 -1.660E-01  1.093E-01  1.114E-01  0.000E+00
   187  7.044E+02 -2.068E-01  1.047E-01  1.071E-01  0.000E+00
   188  7.124E+02 -2.469E-01  1.001E-01  1.028E-01  0.000E+00
   189  7.204E+02 -2.637E-01  9.686E-02  9.962E-02  0.000E+00
   190  7.284E+02 -3.032E-01  9.646E-02  9.971E-02  0.000E+00
   191  7.364E+02 -3.616E-01  9.421E-02  9.810E-02  0.000E+00
   192  7.444E+02 -4.269E-01  9.047E-02  9.501E-02  0.000E+00
   193  7.524E+02 -4.788E-01  8.720E-02  9.225E-02  0.000E+00
   194  7.604E+02 -5.530E-01  8.030E-02  8.585E-02  0.000E+00
   195  7.684E+02 -6.058E-01  7.507E-02  8.095E-02  0.000E+00
   196  7.764E+02 -6.448E-01  7.120E-02  7.735E-02  0.000E+00
   197  7.844E+02 -6.594E-01  7.104E-02  7.754E-02  0.000E+00
   198  7.924E+02 -6.814E-01  6.956E-02  7.639E-02  0.000E+00
