#Lag,CCF
 764.82036,   0.07455
 772.03565,   0.12470
 779.25094,   0.17140
 786.46622,   0.20308
 793.68151,   0.23155
 800.89680,   0.24855
 808.11208,   0.25952
 815.32737,   0.26668
 822.54266,   0.28892
 829.75794,   0.31934
 836.97323,   0.34856
 844.18852,   0.36715
 851.40380,   0.38194
 858.61909,   0.39542
 865.83438,   0.39671
 873.04966,   0.38154
 880.26495,   0.36546
 887.48023,   0.34892
 894.69552,   0.31429
 901.91081,   0.24266
 909.12609,   0.16904
 916.34138,   0.09438
 923.55667,  -0.00145
 930.77195,  -0.09385
 937.98724,  -0.14451
 945.20253,  -0.17418
 952.41781,  -0.22939
 959.63310,  -0.29649
 966.84839,  -0.34661
 974.06367,  -0.38558
 981.27896,  -0.41304
 988.49425,  -0.43822
 995.70953,  -0.46428
1002.92482,  -0.48218
1010.14010,  -0.48685
1017.35539,  -0.49511
1024.57068,  -0.50103
1031.78596,  -0.50021
1039.00125,  -0.50083
1046.21654,  -0.50206
1053.43182,  -0.50150
1060.64711,  -0.49839
1067.86240,  -0.49524
1075.07768,  -0.48878
1082.29297,  -0.46426
1089.50826,  -0.44544
1096.72354,  -0.44451
1103.93883,  -0.45497
1111.15411,  -0.46189
1118.36940,  -0.47900
1125.58469,  -0.49911
1132.79997,  -0.52038
1140.01526,  -0.52858
1147.23055,  -0.52663
1154.44583,  -0.52330
1161.66112,  -0.52090
1168.87641,  -0.51234
1176.09169,  -0.52320
1183.30698,  -0.52499
1190.52227,  -0.54077
1197.73755,  -0.56333
1204.95284,  -0.57599
1212.16813,  -0.57977
1219.38341,  -0.57369
1226.59870,  -0.55132
1233.81398,  -0.53453
1241.02927,  -0.50968
1248.24456,  -0.50267
1255.45984,  -0.45213
1262.67513,  -0.43371
1269.89042,  -0.46273
1277.10570,  -0.51129
1284.32099,  -0.57010
1291.53628,  -0.62050
1298.75156,  -0.66149
1305.96685,  -0.69104
1313.18214,  -0.70436
1320.39742,  -0.70460
1327.61271,  -0.70917
1334.82800,  -0.70395
1342.04328,  -0.69779
1349.25857,  -0.70405
1356.47385,  -0.71153
1363.68914,  -0.71382
1370.90443,  -0.71881
1378.11971,  -0.72639
1385.33500,  -0.71255
1392.55029,  -0.68919
1399.76557,  -0.67879
1406.98086,  -0.67526
1414.19615,  -0.67724
1421.41143,  -0.68881
1428.62672,  -0.70925
1435.84201,  -0.72751
1443.05729,  -0.73811
