# lags,weights,weighted_lags
2.586752345762020013e+02,9.690539429129468862e-01,2.506702559999999949e+02
2.561067266750373506e+02,9.782539305103686855e-01,2.505374119999999891e+02
2.534787238344414391e+02,9.862770303486561030e-01,2.500002430000000118e+02
2.599094464216194069e+02,9.594155327293945046e-01,2.493611600000000124e+02
2.521435002997844776e+02,9.906004545151209095e-01,2.497734660000000133e+02
2.513316784172939720e+02,9.915221414558167412e-01,2.492009239999999863e+02
2.559029113789362100e+02,9.790505533913300695e-01,2.505418870000000027e+02
2.586752345762020013e+02,9.690539429129468862e-01,2.506702559999999949e+02
2.599094464216194069e+02,9.594155327293945046e-01,2.493611600000000124e+02
2.508810970587816769e+02,9.943897963007873875e-01,2.494736029999999971e+02
2.541627386600898717e+02,9.845496012484283854e-01,2.502358230000000106e+02
2.627911033747985812e+02,9.517451305925196392e-01,2.501101530000000253e+02
2.534893669163905372e+02,9.841223994309864498e-01,2.494645639999999958e+02
2.558391832852531138e+02,9.720160133669962788e-01,2.486797829999999863e+02
2.586563452251724584e+02,9.689192537759939716e-01,2.506171129999999607e+02
2.522082855768833269e+02,9.909075882592911499e-01,2.499151040000000137e+02
2.559029113789362100e+02,9.790505533913300695e-01,2.505418870000000027e+02
2.507594425324668066e+02,9.931495718960038355e-01,2.490416329999999903e+02
2.558519755642216751e+02,9.719674137813276715e-01,2.486797829999999863e+02
2.491087941613786256e+02,1.002356772833322918e+00,2.496958869999999990e+02
2.504967472270214444e+02,9.974841700181826809e-01,2.498665399999999863e+02
2.627911033747985812e+02,9.517451305925196392e-01,2.501101530000000253e+02
2.549997546161430648e+02,9.795353033809832688e-01,2.497812619999999981e+02
2.541087191044778137e+02,9.829706665724499137e-01,2.497814170000000047e+02
2.521515199579238811e+02,9.922372866986861606e-01,2.501941400000000044e+02
2.562546232210069093e+02,9.789272007929797903e-01,2.508546210000000087e+02
2.520330931373202361e+02,9.890335745083510544e-01,2.492691910000000064e+02
2.546273884863773844e+02,9.796440378343090893e-01,2.494442029999999875e+02
2.517778224967227061e+02,9.941859672857334962e-01,2.503139779999999917e+02
2.556957900416276175e+02,9.789272007929797903e-01,2.503075640000000135e+02
2.543557000494062379e+02,9.829696836022749906e-01,2.500239420000000052e+02
2.587334240543257238e+02,9.684678425907093935e-01,2.505750009999999861e+02
2.586752345762020013e+02,9.690539429129468862e-01,2.506702559999999949e+02
2.549997546161430648e+02,9.795353033809832688e-01,2.497812619999999981e+02
2.608824706363416226e+02,9.561447167821023330e-01,2.494413959999999975e+02
2.562546232210069093e+02,9.789272007929797903e-01,2.508546210000000087e+02
2.586752345762020013e+02,9.690539429129468862e-01,2.506702559999999949e+02
2.586752345762020013e+02,9.690539429129468862e-01,2.506702559999999949e+02
2.599094464216194069e+02,9.594155327293945046e-01,2.493611600000000124e+02
2.534494165614082135e+02,9.841971955755605128e-01,2.494442050000000108e+02
2.517775549411458655e+02,9.941859672857334962e-01,2.503137120000000095e+02
2.586204295775862079e+02,9.690539429129468862e-01,2.506171470000000170e+02
2.590476696129537117e+02,9.603562208133441525e-01,2.487780409999999733e+02
2.459545585270852257e+02,1.018181303488312039e+00,2.504263329999999996e+02
2.520471750635105934e+02,9.935697630290750704e-01,2.504264520000000118e+02
2.546029080049076754e+02,9.816975617386983766e-01,2.499430539999999894e+02
2.541087191044778137e+02,9.829706665724499137e-01,2.497814170000000047e+02
2.556957900416276175e+02,9.789272007929797903e-01,2.503075640000000135e+02
2.499979075006571918e+02,9.963018550439075582e-01,2.490733789999999885e+02
2.541627386600898717e+02,9.845496012484283854e-01,2.502358230000000106e+02
2.546273884863773844e+02,9.796440378343090893e-01,2.494442029999999875e+02
2.561922806084583613e+02,9.779272482565515290e-01,2.505374119999999891e+02
2.520471750635105934e+02,9.935697630290750704e-01,2.504264520000000118e+02
2.504086113430002172e+02,9.963018550439075582e-01,2.494825639999999964e+02
2.558306478897396801e+02,9.792620511517985404e-01,2.505252450000000124e+02
2.504889666524185827e+02,9.974841700181826809e-01,2.498587789999999984e+02
2.565184574235839818e+02,9.720150413514689891e-01,2.493397989999999993e+02
2.544221695238018128e+02,9.852774523115942484e-01,2.506764269999999897e+02
2.608214547681618569e+02,9.561447167821023330e-01,2.493830560000000389e+02
2.565184615387466351e+02,9.720150413514689891e-01,2.493398030000000176e+02
2.534493809994292235e+02,9.841971955755605128e-01,2.494441700000000139e+02
2.536332992225769090e+02,9.857347271290203272e-01,2.500151510000000030e+02
2.456729727905602658e+02,1.019348808114485472e+00,2.504264520000000118e+02
2.565180561952249150e+02,9.720150413514689891e-01,2.493394089999999892e+02
2.544432958322476566e+02,9.817309400232250294e-01,2.497948560000000100e+02
2.514771626850073574e+02,9.954065821616803200e-01,2.503220230000000015e+02
2.605842722355257024e+02,9.570037203726595720e-01,2.493801180000000386e+02
2.583243652217751674e+02,9.661086277546491186e-01,2.495693980000000067e+02
2.599205662164263799e+02,9.593589288827933936e-01,2.493571159999999907e+02
2.521816978174674659e+02,9.891305045481472158e-01,2.494406099999999924e+02
2.545632304687285341e+02,9.798909392401139451e-01,2.494442029999999875e+02
2.549997546161430648e+02,9.795353033809832688e-01,2.497812619999999981e+02
2.581429466990906576e+02,9.661086277546491186e-01,2.493941279999999949e+02
2.543568169442561953e+02,9.817309400232250294e-01,2.497099570000000028e+02
2.576858768157319446e+02,9.673092801210996239e-01,2.492619400000000098e+02
2.577628483633351948e+02,9.661182888892321241e-01,2.490294020000000046e+02
2.529524176715688100e+02,9.888189775072994125e-01,2.501241510000000119e+02
2.565184615387466351e+02,9.720150413514689891e-01,2.493398030000000176e+02
2.586752345762020013e+02,9.690539429129468862e-01,2.506702559999999949e+02
2.507589592215803407e+02,9.931495718960038355e-01,2.490411530000000084e+02
2.517191139134340574e+02,9.918781618064286265e-01,2.496746919999999932e+02
