# tau,tf,errlo,errhi
-1.731155077106706813e+03,5.391849249201160349e-04,1.414875581212251079e-04,2.587059094963250648e-04
-1.730848800312820458e+03,5.393633719246605090e-04,1.415225356489733556e-04,2.587774421759888232e-04
-1.730542523518934104e+03,5.395418337799654700e-04,1.415575076547179048e-04,2.588489779949164956e-04
-1.730236246725047749e+03,5.397203104616954579e-04,1.415924741294098958e-04,2.589205169452412194e-04
-1.729929969931161395e+03,5.398988019455028698e-04,1.416274350639985715e-04,2.589920590190934215e-04
-1.729623693137275040e+03,5.400773082070285018e-04,1.416623904494320905e-04,2.590636042086016857e-04
-1.729317416343388686e+03,5.402558292219018744e-04,1.416973402766574732e-04,2.591351525058914517e-04
-1.729011139549502332e+03,5.404343649657400396e-04,1.417322845366197881e-04,2.592067039030862075e-04
-1.728704862755615977e+03,5.406129154141492074e-04,1.417672232202633995e-04,2.592782583923064054e-04
-1.728398585961729623e+03,5.407914805427233365e-04,1.417355371708154625e-04,2.593498159656707630e-04
-1.728092309167843041e+03,5.409700603270450013e-04,1.416869314337983882e-04,2.594213766152947452e-04
-1.727786032373956687e+03,5.411486547426847416e-04,1.416382666812341989e-04,2.594929403332915403e-04
-1.727479755580070332e+03,5.413272637652019300e-04,1.415895429101425855e-04,2.595645071117720594e-04
-1.727173478786183978e+03,5.415058873701441211e-04,1.415407601175743013e-04,2.596360769428442865e-04
-1.726867201992297623e+03,5.416845255330469434e-04,1.414919183006110534e-04,2.597076498186143625e-04
-1.726560925198411269e+03,5.418631782294346414e-04,1.414430174563665330e-04,2.597792257311855009e-04
-1.726254648404524914e+03,5.420418454348199669e-04,1.413940575819856021e-04,2.598508046726580962e-04
-1.725948371610638560e+03,5.422205271247034202e-04,1.413450386746444021e-04,2.599223866351309167e-04
-1.725642094816752206e+03,5.423992232745745512e-04,1.412959607315508953e-04,2.599939716106995863e-04
-1.725335818022865851e+03,5.425779338599108752e-04,1.412468237499441069e-04,2.600655595914575608e-04
