#Lag,CCF
 606.08406,   0.22616
 613.29935,   0.20648
 620.51464,   0.19890
 627.72992,   0.20255
 634.94521,   0.20706
 642.16049,   0.20340
 649.37578,   0.19128
 656.59107,   0.17307
 663.80635,   0.14581
 671.02164,   0.11496
 678.23693,   0.08274
 685.45221,   0.04582
 692.66750,   0.00458
 699.88279,  -0.03763
 707.09807,  -0.08008
 714.31336,  -0.12058
 721.52865,  -0.15596
 728.74393,  -0.19340
 735.95922,  -0.23391
 743.17451,  -0.29056
 750.38979,  -0.34035
 757.60508,  -0.40108
 764.82036,  -0.44919
 772.03565,  -0.48120
 779.25094,  -0.50214
 786.46622,  -0.51452
 793.68151,  -0.53404
 800.89680,  -0.54240
 808.11208,  -0.55861
 815.32737,  -0.56811
 822.54266,  -0.57249
 829.75794,  -0.57356
 836.97323,  -0.56893
 844.18852,  -0.56309
 851.40380,  -0.55857
 858.61909,  -0.54919
 865.83438,  -0.53201
 873.04966,  -0.51806
 880.26495,  -0.52392
 887.48023,  -0.51287
 894.69552,  -0.49204
 901.91081,  -0.46806
 909.12609,  -0.49631
 916.34138,  -0.52079
 923.55667,  -0.54077
 930.77195,  -0.54719
 937.98724,  -0.53728
 945.20253,  -0.53135
 952.41781,  -0.52727
 959.63310,  -0.53267
 966.84839,  -0.52797
 974.06367,  -0.53480
 981.27896,  -0.53824
 988.49425,  -0.53801
 995.70953,  -0.53774
1002.92482,  -0.53716
1010.14010,  -0.53824
1017.35539,  -0.53931
1024.57068,  -0.54153
1031.78596,  -0.55839
1039.00125,  -0.57814
1046.21654,  -0.59703
1053.43182,  -0.61810
1060.64711,  -0.64005
1067.86240,  -0.65907
1075.07768,  -0.67124
1082.29297,  -0.67431
1089.50826,  -0.67986
1096.72354,  -0.67115
1103.93883,  -0.67363
1111.15411,  -0.67589
1118.36940,  -0.68722
1125.58469,  -0.69020
1132.79997,  -0.69856
1140.01526,  -0.70412
1147.23055,  -0.70966
1154.44583,  -0.71838
1161.66112,  -0.72208
1168.87641,  -0.73062
1176.09169,  -0.74591
1183.30698,  -0.74205
1190.52227,  -0.74436
1197.73755,  -0.74482
1204.95284,  -0.74125
1212.16813,  -0.73951
1219.38341,  -0.74799
1226.59870,  -0.75603
1233.81398,  -0.75151
1241.02927,  -0.74396
1248.24456,  -0.75116
1255.45984,  -0.75383
1262.67513,  -0.77547
1269.89042,  -0.77840
1277.10570,  -0.78297
1284.32099,  -0.77124
1291.53628,  -0.75034
1298.75156,  -0.74241
