#sigma,tau,jitter
0.44614808355431457,314.2412482986685,6.370689704898848e-05
0.3789192372589156,240.6359662007934,7.790328977426703e-05
0.5609321793910453,400.6987475745541,4.739095245433809e-05
0.4816686223052399,336.34243722278893,5.7574848629957804e-05
0.44650515850629524,331.00970242204926,6.168032513034716e-05
0.535363841466814,369.23217910897375,5.0487112631296325e-05
0.5766497920909738,413.7967473680838,4.592282746874186e-05
0.5675702876893441,408.0284468084211,4.675879583488201e-05
0.3679105399969997,231.77147165798772,8.108708225933716e-05
0.34974199329580596,229.32183923334014,8.262284050883976e-05
0.45119747269132676,318.85104970953665,6.29458069074912e-05
0.4230341287267361,275.8357064614046,6.785247151500315e-05
0.5653078821994844,405.6162696980579,4.690577982073867e-05
0.4816686223052399,336.34243722278893,5.7574848629957804e-05
0.5216632358437122,447.81788473091973,4.9433838841461623e-05
0.522156915275905,358.0835879544867,5.210667109801658e-05
0.5208365964432786,362.8381118012773,5.220025449379931e-05
0.5491583711142556,392.49025950163303,4.875544943269367e-05
0.3679105399969997,231.77147165798772,8.108708225933716e-05
0.34974199329580596,229.32183923334014,8.262284050883976e-05
0.45119747269132676,318.85104970953665,6.29458069074912e-05
0.4839441037546747,329.8763385955552,5.7170386283478636e-05
0.5653078821994844,405.6162696980579,4.690577982073867e-05
0.45295908083369835,269.77463236235536,6.475037121606016e-05
0.5216632358437122,447.81788473091973,4.9433838841461623e-05
0.522156915275905,358.0835879544867,5.210667109801658e-05
0.5269040164603616,369.1264798085118,5.1426538868371974e-05
0.5491583711142556,392.49025950163303,4.875544943269367e-05
0.3679105399969997,231.77147165798772,8.108708225933716e-05
0.34974199329580596,229.32183923334014,8.262284050883976e-05
0.4589655725814761,325.9725014410736,6.180872019220886e-05
0.41980531224669343,281.33496446533894,6.717138639745925e-05
0.5653078821994844,405.6162696980579,4.690577982073867e-05
0.45339399657913065,270.42258022138884,6.464799330148301e-05
0.5053469110337605,418.379389542934,5.170151797539005e-05
0.496267046011453,330.60982507586544,5.57366875161642e-05
0.49842604091295684,342.64246623554004,5.530290268371482e-05
0.586880960662148,372.9596702777725,4.6522499492269275e-05
0.3679105399969997,231.77147165798772,8.108708225933716e-05
0.33927662497510724,227.86481610925708,8.355802047997332e-05
0.41714368731056933,254.45351635526896,7.379243265561922e-05
0.41980531224669343,281.33496446533894,6.717138639745925e-05
0.5653078821994844,405.6162696980579,4.690577982073867e-05
0.449333898543441,258.89920230824174,6.654943871372953e-05
0.5053469110337605,418.379389542934,5.170151797539005e-05
0.4603450769958921,291.093039348951,6.155466264182692e-05
0.5334214198751632,405.9806687733965,4.944905931361018e-05
0.586880960662148,372.9596702777725,4.6522499492269275e-05
0.34383574415048096,216.33108286359638,8.78859763456764e-05
0.33927662497510724,227.86481610925708,8.355802047997332e-05
0.39581643209747364,251.360953178211,7.937574523916695e-05
0.41980531224669343,281.33496446533894,6.717138639745925e-05
0.496092700785855,349.9850355967059,5.4371968434246734e-05
0.46391839849168487,260.8333201950529,6.365970164072917e-05
0.5053469110337605,418.379389542934,5.170151797539005e-05
0.4370891274152328,256.19253832242333,6.70830363667214e-05
0.5387855182239806,415.2568441447846,4.8719119698692295e-05
0.5634672806770533,392.5333010257933,4.7555781317778306e-05
0.3632441137702595,232.54420584706062,8.162241127795767e-05
0.33927662497510724,227.86481610925708,8.355802047997332e-05
0.39166989459867213,250.85333924855016,8.08065546372838e-05
0.41980531224669343,281.33496446533894,6.717138639745925e-05
0.47375339005833783,312.42848730226723,5.8691355524580707e-05
0.48659642985478535,264.6119169474206,6.1043536874403e-05
0.46373198513624964,359.07130380601774,5.822633371961082e-05
0.41780239045956014,250.21287019710914,7.037014935080794e-05
0.5334889165441841,397.5022361701199,4.979622688953559e-05
0.5634672806770533,392.5333010257933,4.7555781317778306e-05
0.41567204925395596,280.65693134237887,6.86326078567488e-05
0.3339802787377766,224.21560555968375,8.484163602277097e-05
0.36651568100792137,227.23572653038218,8.966209332154202e-05
0.4212955284222806,306.86509844220717,6.489547747448052e-05
0.47375339005833783,312.42848730226723,5.8691355524580707e-05
0.48659642985478535,264.6119169474206,6.1043536874403e-05
0.4927006400944202,369.16231790530065,5.467293326184851e-05
0.4169285415707242,262.2608738148174,6.965324147934186e-05
0.5178191601406009,400.23826062272826,5.10621075634655e-05
0.5634672806770533,392.5333010257933,4.7555781317778306e-05
0.44074612317904227,305.48157213557846,6.360092530385037e-05
0.36664289790433513,241.8331276538328,7.61110713824256e-05
0.36651568100792137,227.23572653038218,8.966209332154202e-05
0.39110298572101027,288.138396573811,7.026557397125356e-05
0.517336303685604,348.4705752225294,5.075360125843613e-05
0.48297674471265034,266.55152200664776,6.093785844635031e-05
0.5084494109610783,374.5134358599131,5.2914221192672226e-05
0.45010624670277755,285.5766930849155,5.994922203282624e-05
0.5293606840580455,398.21336437565424,5.012302649588653e-05
0.5634672806770533,392.5333010257933,4.7555781317778306e-05
0.4405804540009728,306.78899661348015,6.37317640142033e-05
0.36664289790433513,241.8331276538328,7.61110713824256e-05
0.36651143019723703,226.7634037285666,9.015442901956211e-05
0.39110298572101027,288.138396573811,7.026557397125356e-05
0.517336303685604,348.4705752225294,5.075360125843613e-05
0.49575031159339195,284.60877054850016,5.843200895196671e-05
0.5084494109610783,374.5134358599131,5.2914221192672226e-05
0.4443916181635569,278.1935777414692,6.080070343627647e-05
0.5293606840580455,398.21336437565424,5.012302649588653e-05
0.5388857098920079,373.28514553608653,4.993490729410228e-05
0.4405804540009728,306.78899661348015,6.37317640142033e-05
0.36664289790433513,241.8331276538328,7.61110713824256e-05
0.3500182738730965,216.87450259285626,9.794749002887256e-05
0.39110298572101027,288.138396573811,7.026557397125356e-05
0.5066592991988893,342.7534486697104,5.227666649832197e-05
0.4351055603392091,258.0002485584395,7.047139676068984e-05
0.5084494109610783,374.5134358599131,5.2914221192672226e-05
0.4786476866833124,293.6537496347686,5.575018700291728e-05
0.5297181684359011,397.24006944875305,5.0115892365650805e-05
0.5664910409311554,413.007216857401,4.76695832412712e-05
0.43932405295780846,294.8906709766814,6.521182555904116e-05
0.3537729935320853,219.49191400207593,7.955177964721457e-05
0.3500182738730965,216.87450259285626,9.794749002887256e-05
0.3952224587853567,291.35166040386355,6.945021336797984e-05
0.5462876425642558,376.32630954823,4.78715853254611e-05
0.4354555086365193,258.45562482585024,7.0373311590469e-05
0.5101477481818607,407.2441583120419,5.3524168071032966e-05
0.49570822234096124,315.226948729314,5.3964879812661175e-05
0.5297181684359011,397.24006944875305,5.0115892365650805e-05
0.569917665036632,413.3414431440517,4.735276083220259e-05
0.4509577350084909,305.4987608717467,6.22311511801269e-05
0.38698289938166147,235.54317431792578,7.54490637142063e-05
0.3500182738730965,216.87450259285626,9.794749002887256e-05
0.40214493608472063,303.91041020229636,6.611920568972786e-05
0.532714110879347,359.45070794769975,4.938018825990482e-05
0.4526619433593211,276.5367858317536,6.647054827849638e-05
0.5240918366282511,429.5964219979848,5.176051763472207e-05
0.49570822234096124,315.226948729314,5.3964879812661175e-05
0.5297181684359011,397.24006944875305,5.0115892365650805e-05
0.5527999537228186,389.56760383866475,4.872528108257213e-05
0.42665525943985283,278.5739792323482,6.692003984598605e-05
0.3845814574753797,234.34027751786098,7.667986455569413e-05
0.3500182738730965,216.87450259285626,9.794749002887256e-05
0.39626301009677456,278.9298941121028,6.943219762524781e-05
0.5287348951217334,353.91665916651294,4.96106560891732e-05
0.4526619433593211,276.5367858317536,6.647054827849638e-05
0.5068347524145759,388.4583905301276,5.480523409865404e-05
0.49570822234096124,315.226948729314,5.3964879812661175e-05
0.5297181684359011,397.24006944875305,5.0115892365650805e-05
0.5266691911286947,366.125567412641,5.246681301181388e-05
0.36277941665111857,225.70288649187097,8.071130888353593e-05
0.3942691189439577,241.2505620845901,7.40845959498604e-05
0.3500182738730965,216.87450259285626,9.794749002887256e-05
0.4204566736419133,296.8249964522733,6.629916732929648e-05
0.5287348951217334,353.91665916651294,4.96106560891732e-05
0.40533353478983114,198.40902437184994,8.026122719309795e-05
0.5159433841487203,401.8060481731808,5.364608077268387e-05
0.4924280797374376,310.0985509637744,5.413162048122981e-05
0.47021473928484264,333.78589991782485,6.0766217032112206e-05
0.48831123172846563,330.32467654453546,5.709646170254662e-05
0.39033059680003385,243.549787966126,7.334564264386053e-05
0.40425638392025226,246.71121404643685,6.986287921098837e-05
0.3500182738730965,216.87450259285626,9.794749002887256e-05
0.42414723038085034,301.2981597938515,6.507737014903271e-05
0.5406418952513419,357.87361595415314,4.773653125853279e-05
0.40064438991520457,174.5787154121929,8.528455204891296e-05
0.5200151532474113,385.76723952996326,5.2316230518762667e-05
0.4924280797374376,310.0985509637744,5.413162048122981e-05
0.47021473928484264,333.78589991782485,6.0766217032112206e-05
0.4831667998696431,329.2972398836242,5.8069514749586627e-05
0.3880642863706101,241.62757762200783,7.382479839939207e-05
0.39686606520242634,228.4773826908566,7.179333279720236e-05
0.3132610089083357,179.36525585902365,0.00012403627201538757
0.42414723038085034,301.2981597938515,6.507737014903271e-05
0.5142396959439248,337.81605154522725,5.1855723197130833e-05
0.4209816922963177,217.0284575569407,7.647903757226031e-05
0.5189651154474707,384.82274964401836,5.2429620080609556e-05
0.48370786827322654,288.68057394375865,5.4740276899327226e-05
0.4614444314352084,324.87170490040495,6.249191761645585e-05
0.46911034240007987,314.62258985175544,6.018831663296812e-05
0.3880642863706101,241.62757762200783,7.382479839939207e-05
0.33468867517230716,186.79992709382464,9.067821776009225e-05
0.35684943859280227,219.03224424989673,9.849372848241847e-05
0.42414723038085034,301.2981597938515,6.507737014903271e-05
0.5021252764684402,317.75533156594065,5.296069150085595e-05
0.40520403642627606,228.24104655967778,7.5222083615102e-05
0.5463013884874428,430.39199035399304,4.8720135647186356e-05
0.45907954454216454,269.34649582855553,6.012301691908526e-05
0.5606389278323108,454.38482735982194,4.986548085710099e-05
0.46911034240007987,314.62258985175544,6.018831663296812e-05
0.39357003505121424,245.27293788761668,7.249629124565371e-05
0.33071130011924765,183.03418938695424,9.206314421035633e-05
0.35684943859280227,219.03224424989673,9.849372848241847e-05
0.42414723038085034,301.2981597938515,6.507737014903271e-05
0.5021252764684402,317.75533156594065,5.296069150085595e-05
0.40493807116183,227.33202581671884,7.537884655655127e-05
